"","st.index","st","log.inv.age1","log.inv.prec.age1"
"1",1,"1",10.3010929329855,20.4439274831617
"5",2,"10A",8.28745860506734,24.5192627027124
"9",3,"10F",8.8419646833379,11.6153091624854
"13",4,"11A",7.40347096711102,20.5269118627163
"17",5,"12F",9.77636527518679,31.4586298512307
"21",6,"13",9.0495206978348,11.7332019292802
"25",7,"14",8.82196245231566,29.7094433565604
"29",8,"15A",7.74402543382696,26.280775012804
"33",9,"15B/C",7.6946958436991,30.5887501395725
"37",10,"16F",8.08736528290015,22.0959645744859
"41",11,"17A",9.1518493076325,13.5864078895031
"45",12,"17F",7.73499999605157,17.4070390685063
"49",13,"18C",9.36982082317338,23.4455066580191
"53",14,"19A",8.18077333508877,56.1753892515891
"57",15,"19F",8.04219981575111,32.5909380720761
"61",16,"21",8.0108298657021,19.3122805149452
"65",17,"22F",7.81758935125443,32.604501364247
"69",18,"23A",7.79233790143634,20.1992281438994
"73",19,"23B",7.29663158030941,19.6131020307811
"77",20,"23F",8.00869479765176,26.4722925662682
"81",21,"3",8.42449008821266,29.9677490680816
"85",22,"31",8.12863886751262,19.4365262881621
"89",23,"33F",8.45005674981941,23.3987782387996
"93",24,"34",8.37101596962529,23.3351288989122
"97",25,"35A",8.55764554875722,19.0819949017404
"101",26,"35B",7.34108871295713,25.7424840251929
"105",27,"35F",8.03926200397766,22.1938409459477
"109",28,"37",8.82787389630756,12.6230927378349
"113",29,"38",8.85940208557123,22.1628082654165
"117",30,"4",9.12961253196406,22.105350080641
"121",31,"6A/C",7.12888565679297,40.6495088097826
"125",32,"6B",8.16320942310881,36.0471236087299
"129",33,"7C",8.12725686163453,16.8457111969203
"133",34,"7F",10.0315613079895,30.5941179810201
"137",35,"8",9.0650598110208,18.4133782985229
"141",36,"9N",9.38169170072446,15.449825889774
"145",37,"9V",8.97960462524711,28.9972522690162
"149",38,"NT",7.25267244555716,17.6038655476465
